url,course_name,rating,survey_count,Institution,Subject,Level,Language,Associated_skills,price,duration
https://www.edx.org/learn/physics/universitat-politecnica-de-valencia-physics-fundamentals-mechanics,UPValenciaX: Physics Fundamentals: Mechanics,4.6 stars,20 ratings,,,,,,$29 USD,6 weeks
https://www.edx.org/learn/physics/universitat-politecnica-de-valencia-physics-fundamentals-electromagnetics,UPValenciaX: Physics Fundamentals: Electromagnetics,4.5 stars,29 ratings,,,,,,$29 USD,7 weeks
https://www.edx.org/learn/railway-engineering/delft-university-of-technology-railway-engineering-an-integral-approach,DelftX: Railway Engineering: An Integral Approach,4.4 stars,19 ratings,DelftX,Engineering,Introductory,English,"Control Systems, Decision Making, Influencing Skills, Integration, Railroad Engineering, Railway Engineering, Signaling (Crane Rigging)",$129 USD,6 weeks
https://www.edx.org/learn/railway-engineering/world-bank-group-e-learning-course-on-urban-rail-development,WBGx: e-Learning Course on Urban Rail Development,4.3 stars,10 ratings,WBGx,Environmental Studies,Introductory,English,"Digital Strategy Development, Engineering Design Process, Urban Transportation",$5 USD,7 weeks
https://www.edx.org/learn/religion/harvard-university-religion-conflict-and-peace,"HarvardX: Religion, Conflict and Peace",4.7 stars,88 ratings,HarvardX,Humanities,Introductory,English,"Economic Policy, Peace And Conflict Studies, Public Health Education, World Religions",$149 USD,8 weeks
https://www.edx.org/learn/religion/harvard-university-religious-literacy-traditions-and-scriptures,HarvardX: Religious Literacy: Traditions and Scriptures.,4.6 stars,36 ratings,,,,,,$149 USD,4 weeks
https://www.edx.org/learn/railway-engineering/world-bank-group-e-learning-course-on-urban-rail-development,WBGx: e-Learning Course on Urban Rail Development,4.3 stars,10 ratings,WBGx,Environmental Studies,Introductory,English,"Digital Strategy Development, Engineering Design Process, Urban Transportation",$5 USD,7 weeks
https://www.edx.org/learn/urban-planning/university-of-pennsylvania-urban-transit-for-livable-cities,PennX: Urban Transit for Livable Cities,4.3 stars,12 ratings,PennX,Engineering,Intermediate,English,"Business Administration, Economics, Systems Engineering, Transport Engineering",$49 USD,8 weeks
https://www.edx.org/learn/electric-cars/delft-university-of-technology-electric-cars-introduction,DelftX: Electric Cars: Introduction,4.4 stars,39 ratings,DelftX,Engineering,Intermediate,,"Business Modeling, Electric Vehicles, Infrastructure, Innovation",$124 USD,4 weeks
https://www.edx.org/learn/architecture/harvard-university-the-architectural-imagination,HarvardX: The Architectural Imagination,4.7 stars,143 ratings,HarvardX,Architecture,Introductory,English,"Imagination, Innovation, Perspective (Graphical), Value Systems",$249 USD,10 weeks
https://www.edx.org/learn/architecture-history/massachusetts-institute-of-technology-a-global-history-of-architecture,MITx: A Global History of Architecture,4.9 stars,8 ratings,MITx,History,Introductory,English,Architectural History,$149 USD,13 weeks
https://www.edx.org/learn/christianity/harvard-university-christianity-through-its-scriptures,HarvardX: Christianity Through Its Scriptures,4.6 stars,55 ratings,,,,,,$149 USD,4 weeks
https://www.edx.org/learn/biology/cornell-university-sharks,"CornellX, UQx: Sharks!",5.0 stars,5 ratings,"CornellX, UQx",Biology & Life Sciences,Introductory,English,"Anatomy, Biology, Ecology, Optometry, Research Methodologies",$199 USD,9 weeks
https://www.edx.org/learn/sustainable-development/sdg-academy-sustainable-development-the-post-capitalist-order,SDGAcademyX: Sustainable Development: The Post-Capitalist Order,5.0 stars,7 ratings,SDGAcademyX,Economics & Finance,Introductory,English,"Capitalism, Economic Growth, Economics, International Trade, Sustainable Development",,8 weeks
https://www.edx.org/learn/literature/harvard-university-masterpieces-of-world-literature,HarvardX: Masterpieces of World Literature,4.7 stars,53 ratings,,,,,,$299 USD,12 weeks
https://www.edx.org/learn/literature/harvard-university-ancient-masterpieces-of-world-literature,HarvardX: Ancient Masterpieces of World Literature,4.8 stars,33 ratings,HarvardX,Literature,Introductory,English,"Collections, Writing",$209 USD,6 weeks
https://www.edx.org/learn/literature/harvard-university-modern-masterpieces-of-world-literature,HarvardX: Modern Masterpieces of World Literature,4.9 stars,34 ratings,,,,,,$209 USD,8 weeks
https://www.edx.org/learn/architecture-history/massachusetts-institute-of-technology-a-global-history-of-architecture,MITx: A Global History of Architecture,4.9 stars,8 ratings,MITx,History,Introductory,English,Architectural History,$149 USD,13 weeks
https://www.edx.org/learn/christianity/harvard-university-christianity-through-its-scriptures,HarvardX: Christianity Through Its Scriptures,4.6 stars,55 ratings,,,,,,$149 USD,4 weeks
https://www.edx.org/learn/biology/cornell-university-sharks,"CornellX, UQx: Sharks!",5.0 stars,5 ratings,"CornellX, UQx",Biology & Life Sciences,Introductory,English,"Anatomy, Biology, Ecology, Optometry, Research Methodologies",$199 USD,9 weeks
https://www.edx.org/learn/sustainable-development/sdg-academy-sustainable-development-the-post-capitalist-order,SDGAcademyX: Sustainable Development: The Post-Capitalist Order,5.0 stars,7 ratings,SDGAcademyX,Economics & Finance,Introductory,English,"Capitalism, Economic Growth, Economics, International Trade, Sustainable Development",,8 weeks
https://www.edx.org/learn/literature/harvard-university-masterpieces-of-world-literature,HarvardX: Masterpieces of World Literature,4.7 stars,53 ratings,,,,,,$299 USD,12 weeks
https://www.edx.org/learn/literature/harvard-university-ancient-masterpieces-of-world-literature,HarvardX: Ancient Masterpieces of World Literature,4.8 stars,33 ratings,HarvardX,Literature,Introductory,English,"Collections, Writing",$209 USD,6 weeks
https://www.edx.org/learn/literature/harvard-university-modern-masterpieces-of-world-literature,HarvardX: Modern Masterpieces of World Literature,4.9 stars,34 ratings,,,,,,$209 USD,8 weeks
https://www.edx.org/learn/html5/the-world-wide-web-consortium-w3c-html5-coding-essentials-and-best-practices,W3Cx: HTML5 Coding Essentials and Best Practices,4.5 stars,12 ratings,W3Cx,Computer Science,Intermediate,,"Animations, Dashboard, HTML5, Mobile Phones, Web Pages",$249 USD,6 weeks
https://www.edx.org/learn/javascript/the-world-wide-web-consortium-w3c-javascript-introduction,W3Cx: JavaScript Introduction,4.1 stars,37 ratings,W3Cx,Computer Science,Introductory,,"Cascading Style Sheets (CSS), Front End (Software Engineering), JavaScript (Programming Language), Multimedia, Web Browsers, Web Development, Web Pages",$249 USD,5 weeks
https://www.edx.org/learn/architecture/harvard-university-the-architectural-imagination,HarvardX: The Architectural Imagination,4.7 stars,143 ratings,HarvardX,Architecture,Introductory,English,"Imagination, Innovation, Perspective (Graphical), Value Systems",$249 USD,10 weeks
https://www.edx.org/learn/architecture/tokyo-institute-of-technology-japanese-architecture-and-structural-design,TokyoTechX: Japanese Architecture and Structural Design,4.5 stars,28 ratings,TokyoTechX,Architecture,Intermediate,English,"Aesthetics, Environmentalism, Metabolism, Roofing, Seismic Analysis, Seismic Retrofit, Seismology, Shear (Sheet Metal), Structural Engineering",$79 USD,5 weeks
https://www.edx.org/learn/engineering/delft-university-of-technology-facade-design-and-engineering-complexity-made-simple,DelftX: Façade design and engineering: complexity made simple,4.6 stars,37 ratings,DelftX,Architecture,Introductory,English,"Aesthetics, Construction, Renewable Energy, Research",$169 USD,6 weeks
https://www.edx.org/learn/computer-architecture/arm-education-computer-architecture-essentials-on-arm,ArmEducationX: Computer Architecture Essentials on Arm,4.3 stars,10 ratings,,,,,,$99 USD,6 weeks
https://www.edx.org/learn/cloud-computing/ibm-cloud-application-developer-capstone,IBM: Full Stack Application Developer Capstone,4.8 stars,5 ratings,IBM,Computer Science,Advanced,English,"Apache Flex, Application Development, Application Programming Interface (API), Architectural Models, Artificial Intelligence, Cascading Style Sheets (CSS), Cloud Application Development, Cloud Computing, Cloud-Native Applications, Cloud-Native Computing, Cloudant, Continuous Delivery, Continuous Integration, Database Management, Full Stack Development, Github, HyperText Markup Language (HTML), IBM Cloud Computing, JSON, JavaScript (Programming Language), Machine Learning, Management, Node.js, Open Source Technology, React.js",$99 USD,3 weeks
https://www.edx.org/learn/computer-programming/amazon-web-services-solutions-architect-associate-exam-prep,AWS: Exam Prep: AWS Certified Solutions Architect - Associate,4.6 stars,7 ratings,AWS,Computer Science,Intermediate,,"AWS Certified Solutions Architect, AWS Certified Solutions Architect Associate, Amazon Web Services, Cloud Computing, Solution Architecture",Expert instruction,4 weeks
https://www.edx.org/learn/architecture/tokyo-institute-of-technology-japanese-architecture-and-structural-design,TokyoTechX: Japanese Architecture and Structural Design,4.5 stars,28 ratings,TokyoTechX,Architecture,Intermediate,English,"Aesthetics, Environmentalism, Metabolism, Roofing, Seismic Analysis, Seismic Retrofit, Seismology, Shear (Sheet Metal), Structural Engineering",$79 USD,5 weeks
https://www.edx.org/learn/engineering/delft-university-of-technology-facade-design-and-engineering-complexity-made-simple,DelftX: Façade design and engineering: complexity made simple,4.6 stars,37 ratings,DelftX,Architecture,Introductory,English,"Aesthetics, Construction, Renewable Energy, Research",$169 USD,6 weeks
https://www.edx.org/learn/computer-architecture/arm-education-computer-architecture-essentials-on-arm,ArmEducationX: Computer Architecture Essentials on Arm,4.3 stars,10 ratings,,,,,,$99 USD,6 weeks
https://www.edx.org/learn/cloud-computing/ibm-cloud-application-developer-capstone,IBM: Full Stack Application Developer Capstone,4.8 stars,5 ratings,IBM,Computer Science,Advanced,English,"Apache Flex, Application Development, Application Programming Interface (API), Architectural Models, Artificial Intelligence, Cascading Style Sheets (CSS), Cloud Application Development, Cloud Computing, Cloud-Native Applications, Cloud-Native Computing, Cloudant, Continuous Delivery, Continuous Integration, Database Management, Full Stack Development, Github, HyperText Markup Language (HTML), IBM Cloud Computing, JSON, JavaScript (Programming Language), Machine Learning, Management, Node.js, Open Source Technology, React.js",$99 USD,3 weeks
https://www.edx.org/learn/computer-programming/amazon-web-services-solutions-architect-associate-exam-prep,AWS: Exam Prep: AWS Certified Solutions Architect - Associate,4.6 stars,7 ratings,AWS,Computer Science,Intermediate,,"AWS Certified Solutions Architect, AWS Certified Solutions Architect Associate, Amazon Web Services, Cloud Computing, Solution Architecture",Expert instruction,4 weeks
https://www.edx.org/learn/art/universidad-carlos-iii-de-madrid-european-paintings-from-leonardo-to-rembrandt-to-goya,UC3Mx: European Paintings: From Leonardo to Rembrandt to Goya,4.5 stars,51 ratings,UC3Mx,Humanities,Introductory,English,Painting,$119 USD,7 weeks
https://www.edx.org/learn/archaeology/harvard-university-pyramids-of-giza-ancient-egyptian-art-and-archaeology,HarvardX: Pyramids of Giza: Ancient Egyptian Art and Archaeology,4.8 stars,67 ratings,HarvardX,Art & Culture,Introductory,English,"3D Modeling, Archaeology",$219 USD,8 weeks
https://www.edx.org/learn/urban-planning/harvard-university-citiesx-the-past-present-and-future-of-urban-life,"HarvardX: CitiesX: The Past, Present and Future of Urban Life",4.6 stars,54 ratings,HarvardX,Social Sciences,Introductory,English,"Anthropology, Consolidation, Economics, Human Capital, Journalism, Sociology, Urban Planning",$249 USD,11 weeks
https://www.edx.org/learn/history/university-of-pennsylvania-hollywood-history-industry-art,"PennX: Hollywood: History, Industry, Art",4.6 stars,5 ratings,PennX,Communication,Introductory,English,Cinematography,$169 USD,4 weeks
https://www.edx.org/learn/video-game-writing/university-of-british-columbia-video-game-writing-essentials,UBCx: Video Game Writing Essentials,4.2 stars,21 ratings,UBCx,Communication,Introductory,,"Video Game Development, Writing",$99 USD,5 weeks
https://www.edx.org/learn/humanities/the-hong-kong-polytechnic-university-humanities-in-focus,HKPolyUx: Humanities in Focus,"The questioning, humanising, connecting approach introduced in this course will allow you to see how problems we face in today’s increasingly complex world, can be solved from a humanistic perspective, with Humanities in Focus.",New integration with GenAI allows learners to dive deeper into the issues raised in the course and end up getting more from the insightful lecture videos!,HKPolyUx,Humanities,Introductory,English,"Communications, Legal Discovery",$119 USD,6 weeks
https://www.edx.org/learn/art/universidad-carlos-iii-de-madrid-european-paintings-from-leonardo-to-rembrandt-to-goya,UC3Mx: European Paintings: From Leonardo to Rembrandt to Goya,4.5 stars,51 ratings,UC3Mx,Humanities,Introductory,English,Painting,$119 USD,7 weeks
https://www.edx.org/learn/archaeology/harvard-university-pyramids-of-giza-ancient-egyptian-art-and-archaeology,HarvardX: Pyramids of Giza: Ancient Egyptian Art and Archaeology,4.8 stars,67 ratings,HarvardX,Art & Culture,Introductory,English,"3D Modeling, Archaeology",$219 USD,8 weeks
https://www.edx.org/learn/urban-planning/harvard-university-citiesx-the-past-present-and-future-of-urban-life,"HarvardX: CitiesX: The Past, Present and Future of Urban Life",4.6 stars,54 ratings,HarvardX,Social Sciences,Introductory,English,"Anthropology, Consolidation, Economics, Human Capital, Journalism, Sociology, Urban Planning",$249 USD,11 weeks
https://www.edx.org/learn/history/university-of-pennsylvania-hollywood-history-industry-art,"PennX: Hollywood: History, Industry, Art",4.6 stars,5 ratings,PennX,Communication,Introductory,English,Cinematography,$169 USD,4 weeks
https://www.edx.org/learn/video-game-writing/university-of-british-columbia-video-game-writing-essentials,UBCx: Video Game Writing Essentials,4.2 stars,21 ratings,UBCx,Communication,Introductory,,"Video Game Development, Writing",$99 USD,5 weeks
https://www.edx.org/learn/humanities/the-hong-kong-polytechnic-university-humanities-in-focus,HKPolyUx: Humanities in Focus,"The questioning, humanising, connecting approach introduced in this course will allow you to see how problems we face in today’s increasingly complex world, can be solved from a humanistic perspective, with Humanities in Focus.",New integration with GenAI allows learners to dive deeper into the issues raised in the course and end up getting more from the insightful lecture videos!,HKPolyUx,Humanities,Introductory,English,"Communications, Legal Discovery",$119 USD,6 weeks
